,Channel,median_channel,mode_channel,mean_channel,var_channel,mean_median,mode_mean,median_mode,clusterNum
38,2340,23.57908674,100,38.18711353,1411.285742,14.60802679,61.81288647,-76.42091326,1
312,10670,86.27856465,100,63.84903238,1442.169331,-22.42953227,36.15096762,-13.72143535,1
313,10930,59.68495783,100,61.37526174,1545.125456,1.69030391,38.62473826,-40.31504217,1
316,11710,94.2348696,100,63.36643787,1481.865678,-30.86843173,36.63356213,-5.765130403,1
317,11720,66.45319756,100,54.59733826,2078.646082,-11.85585931,45.40266174,-33.54680244,1
327,12040,85.59392789,100,58.70496032,1823.072348,-26.88896758,41.29503968,-14.40607211,1
351,15420,33.79871384,100,51.63319134,2220.392902,17.8344775,48.36680866,-66.20128616,1
369,15990,67.08547577,100,63.0447667,1381.172467,-4.04070907,36.9552333,-32.91452423,1
531,29990,0.414499972,100,25.95206055,1847.759769,25.53756058,74.04793945,-99.58550003,1
1078,50969,35.94283806,100,52.98436125,2093.390519,17.04152319,47.01563875,-64.05716194,1
1111,51026,73.14617141,100,52.25009121,2222.730201,-20.8960802,47.74990879,-26.85382859,1
1237,51176,13.82583829,100,49.12913607,2217.292075,35.30329778,50.87086393,-86.17416171,1
1382,51366,99.93515811,100,56.68306404,2249.252815,-43.25209407,43.31693596,-0.064841888,1
1651,53333,18.07654031,100,43.90066923,1794.960911,25.82412892,56.09933077,-81.92345969,1
1652,53334,86.27856465,100,63.84903238,1442.169331,-22.42953227,36.15096762,-13.72143535,1
1656,53379,16.99076568,100,38.86201732,1587.577873,21.87125165,61.13798268,-83.00923432,1
1659,53442,59.68495783,100,61.37526174,1545.125456,1.69030391,38.62473826,-40.31504217,1
1685,53970,85.59392789,100,58.70496032,1823.072348,-26.88896758,41.29503968,-14.40607211,1
1692,54006,68.98313897,100,62.06678372,1572.093869,-6.916355245,37.93321628,-31.01686103,1
1730,54494,33.77760463,100,51.64500001,2219.727286,17.86739538,48.35499999,-66.22239537,1
1779,54620,67.08547577,100,63.0447667,1381.172467,-4.04070907,36.9552333,-32.91452423,1
2128,56097,0.414499972,100,25.95206055,1847.759769,25.53756058,74.04793945,-99.58550003,1
2229,56293,36.34253627,100,50.05714244,1516.953574,13.71460617,49.94285756,-63.65746373,1
2238,56303,95.9163809,100,63.24500422,1564.886635,-32.67137669,36.75499578,-4.083619096,1
2239,56304,95.77203114,100,62.8053861,1615.984736,-32.96664503,37.1946139,-4.227968863,1
2240,56305,95.86320096,100,64.32988265,1536.554026,-31.53331831,35.67011735,-4.13679904,1
2241,56306,95.95436703,100,65.48701919,1480.935957,-30.46734784,34.51298081,-4.045632969,1
2242,56307,96.23167849,100,70.26918358,1355.813077,-25.96249491,29.73081642,-3.768321511,1
2243,56308,96.46719808,100,72.57773234,1340.862377,-23.88946574,27.42226766,-3.532801921,1
2266,56333,41.82610904,100,52.58971295,1539.765672,10.76360391,47.41028705,-58.17389096,1
2283,56350,24.11267909,46.60616229,42.4336414,1368.079351,18.32096231,4.172520893,-22.4934832,1
2285,56352,16.18260027,99.82166741,38.8345238,1584.73855,22.65192353,60.98714361,-83.63906714,1
2286,56353,14.91862015,100,38.09793784,1625.160882,23.17931769,61.90206216,-85.08137985,1
2287,56354,13.82036732,100,37.65253364,1642.937912,23.83216632,62.34746636,-86.17963268,1
2288,56355,13.56873526,100,37.51825792,1648.535491,23.94952266,62.48174208,-86.43126474,1
2289,56356,13.43830241,100,37.45526499,1651.030863,24.01696258,62.54473501,-86.56169759,1
2290,56357,15.06325396,100,37.98280246,1628.487716,22.91954849,62.01719754,-84.93674604,1
2291,56358,13.43446746,100,37.42869845,1650.586676,23.99423098,62.57130155,-86.56553254,1
2292,56359,13.28496916,99.05596254,36.94479183,1607.184027,23.65982266,62.11117072,-85.77099338,1
2293,56360,14.07006988,98.61037686,37.14196405,1549.244758,23.07189417,61.46841281,-84.54030697,1
